appbytes,bytes,count,dstbytes,dstload,dstport,dstrate,duration,hops,intpkt,jitter,loss,maxsize,meansize,minsize,packets,pcr,ploss,protocol,rate,rtt,srcbytes,srcload,srcport,srcrate,srcrate,security
3074,4872,21,0,0.0,547,0.0,1708.036987,0,3748.886,2682.17,0,168,168.0,168,29,1.0,0.0,17,0.016393,0.0,4872,22.819178,546,0.016393,0.016393,0
29,71,1,0,0.0,53,0.0,0.0,12,0.0,0.0,0,71,71.0,71,1,1.0,0.0,17,0.0,0.0,71,0.0,42592,0.0,0.0,1
29,71,1,0,0.0,53,0.0,0.0,12,0.0,0.0,0,71,71.0,71,1,1.0,0.0,17,0.0,0.0,71,0.0,42592,0.0,0.0,1
1846,3582,18,0,0.0,5353,0.0,1738.797729,0,1783.746,3265.149,0,130,127.928574,124,28,1.0,0.0,17,0.015528,0.0,3582,16.480352,5353,0.015528,0.015528,1
1846,3582,18,0,0.0,5353,0.0,1738.797729,0,1783.746,3265.149,0,130,127.928574,124,28,1.0,0.0,17,0.015528,0.0,3582,16.480352,5353,0.015528,0.015528,1
2976,5580,41,0,0.0,0,0.0,1735.341553,0,831.217,171.538,0,60,60.0,60,93,1.0,0.0,2054,0.053016,0.0,5580,25.724043,0,0.053016,0.053016,0
27488,51540,301,0,0.0,0,0.0,1794.579102,0,868.823,169.045,0,60,60.0,60,859,1.0,0.0,2054,0.478107,0.0,51540,229.758606,0,0.478107,0.478107,0
2968,4704,20,0,0.0,547,0.0,1344.08374,0,3750.255,2681.233,0,168,168.0,168,28,1.0,0.0,17,0.020088,0.0,4704,27.998255,546,0.020088,0.020088,0
429,1545,12,0,0.0,0,0.0,1223.071777,0,413.052,4.887,0,93,85.833336,84,18,1.0,0.0,17,0.013899,0.0,1545,10.105703,0,0.013899,0.013899,0
672,1528,2,819,9642.824219,80,5.88695,0.679469,12,227.06400000000002,157.462,0,804,252.425003,120,13,-0.449405,0.0,6,17.660851,0.166304,709,8347.695312,0,10.302162,10.302162,0
2496,4680,26,0,0.0,0,0.0,1702.102417,0,841.741,212.029,0,60,60.0,60,78,1.0,0.0,2054,0.045238,0.0,4680,21.996326,0,0.045238,0.045238,1
2496,4680,26,0,0.0,0,0.0,1702.102417,0,841.741,212.029,0,60,60.0,60,78,1.0,0.0,2054,0.045238,0.0,4680,21.996326,0,0.045238,0.045238,1
548,610,1,0,0.0,5353,0.0,0.0,1,0.0,0.0,0,610,610.0,610,1,1.0,0.0,17,0.0,0.0,610,0.0,5353,0.0,0.0,1
548,610,1,0,0.0,5353,0.0,0.0,1,0.0,0.0,0,610,610.0,610,1,1.0,0.0,17,0.0,0.0,610,0.0,5353,0.0,0.0,1
32,60,1,0,0.0,0,0.0,0.0,0,0.0,0.0,0,60,60.0,60,1,1.0,0.0,2054,0.0,0.0,60,0.0,0,0.0,0.0,0
40647,47409,101,0,0.0,514,0.0,1788.03833,0,3821.36,2658.098,0,319,294.465851,119,161,1.0,0.0,17,0.089484,0.0,47409,212.116257,59554,0.089484,0.089484,1
40647,47409,101,0,0.0,514,0.0,1788.03833,0,3821.36,2658.098,0,319,294.465851,119,161,1.0,0.0,17,0.089484,0.0,47409,212.116257,59554,0.089484,0.089484,1
420,1536,11,0,0.0,0,0.0,1222.966553,0,410.332,0.331,0,90,85.333336,84,18,1.0,0.0,17,0.013901,0.0,1536,10.047699,0,0.013901,0.013901,1
420,1536,11,0,0.0,0,0.0,1222.966553,0,410.332,0.331,0,90,85.333336,84,18,1.0,0.0,17,0.013901,0.0,1536,10.047699,0,0.013901,0.013901,1
96,180,3,0,0.0,0,0.0,1200.041138,0,0.0,0.0,0,60,60.0,60,3,1.0,0.0,2054,0.001667,0.0,180,1.199959,0,0.001667,0.001667,1
96,180,3,0,0.0,0,0.0,1200.041138,0,0.0,0.0,0,60,60.0,60,3,1.0,0.0,2054,0.001667,0.0,180,1.199959,0,0.001667,0.001667,1
800,1500,25,0,0.0,0,0.0,1774.225098,0,0.0,0.0,0,60,60.0,60,25,1.0,0.0,2054,0.013527,0.0,1500,6.763516,0,0.013527,0.013527,0
199,509,3,0,0.0,0,0.0,978.232056,0,410.022,0.073,0,169,101.800003,84,5,1.0,0.0,17,0.004089,0.0,509,4.162611,0,0.004089,0.004089,0
3780,5950,25,0,0.0,547,0.0,1771.054932,0,3750.132,2681.283,0,170,170.0,170,35,1.0,0.0,17,0.019198,0.0,5950,26.876637,546,0.019198,0.019198,0
16,70,1,0,0.0,0,0.0,0.0,1,0.0,0.0,0,70,70.0,70,1,1.0,0.0,58,0.0,0.0,70,0.0,133,0.0,0.0,0
1888,3540,59,3540,16.074871,0,0.032922,1761.755981,0,0.0,0.0,0,60,60.0,60,59,-1.0,0.0,2054,0.032922,0.0,0,0.0,0,0.0,0.0,1
1888,3540,59,3540,16.074871,0,0.032922,1761.755981,0,0.0,0.0,0,60,60.0,60,59,-1.0,0.0,2054,0.032922,0.0,0,0.0,0,0.0,0.0,1
2144,4020,37,1800,8.139533,0,0.016667,1769.143311,0,0.0,0.0,0,120,120.0,120,67,0.104478,0.0,2054,0.037306,0.0,2220,10.038757,0,0.020349,0.020349,0
6762,19782,126,0,0.0,0,0.0,1767.16333,0,410.55,0.366,0,99,94.199997,93,210,1.0,0.0,17,0.118269,0.0,19782,89.553688,0,0.118269,0.118269,0
354,416,1,0,0.0,5353,0.0,0.0,1,0.0,0.0,0,416,416.0,416,1,1.0,0.0,17,0.0,0.0,416,0.0,5353,0.0,0.0,0
25639,35249,72,0,0.0,5353,0.0,1776.042358,1,3055.037,2971.777,0,1424,227.412903,101,155,1.0,0.0,17,0.08671,0.0,35249,158.775497,5353,0.08671,0.08671,0
29209,76299,284,168,0.76194,0,2.434814,1763.918701,0,1231.109,1437.918,0,252,184.040733,154,763,0.996987,0.0,0,0.431993,0.0,76131,345.281219,0,0.430859,0.430859,0
492,554,1,0,0.0,5353,0.0,0.0,1,0.0,0.0,0,554,554.0,554,1,1.0,0.0,17,0.0,0.0,554,0.0,5353,0.0,0.0,0
0,720,10,60,0.469221,0,0.0,1022.972717,11,132.115,0.0,0,120,120.0,120,12,-0.0,0.0,6,0.010753,0.0,660,5.161428,56711,0.009775,0.009775,1
0,720,10,60,0.469221,0,0.0,1022.972717,11,132.115,0.0,0,120,120.0,120,12,-0.0,0.0,6,0.010753,0.0,660,5.161428,56711,0.009775,0.009775,1
2968,4704,20,0,0.0,547,0.0,1344.032715,0,3750.23,2681.139,0,168,168.0,168,28,1.0,0.0,17,0.020089,0.0,4704,27.999319,546,0.020089,0.020089,1
2968,4704,20,0,0.0,547,0.0,1344.032715,0,3750.23,2681.139,0,168,168.0,168,28,1.0,0.0,17,0.020089,0.0,4704,27.999319,546,0.020089,0.020089,1
2820,5580,75,0,0.0,0,0.0,1784.057007,0,0.0,0.0,0,78,74.400002,60,75,1.0,0.0,0,0.041478,0.0,5580,25.021622,0,0.041478,0.041478,0
0,120,2,0,0.0,8080,0.0,0.005989,13,0.0,0.0,0,60,60.0,60,2,-0.0,0.0,6,166.972778,0.0,120,160293.859375,0,166.972778,166.972778,1
0,120,2,0,0.0,8080,0.0,0.005989,13,0.0,0.0,0,60,60.0,60,2,-0.0,0.0,6,166.972778,0.0,120,160293.859375,0,166.972778,166.972778,1
2496,4680,26,0,0.0,0,0.0,1678.745117,0,1050.497,371.983,0,60,60.0,60,78,1.0,0.0,2054,0.045868,0.0,4680,22.302374,0,0.045868,0.045868,1
2496,4680,26,0,0.0,0,0.0,1678.745117,0,1050.497,371.983,0,60,60.0,60,78,1.0,0.0,2054,0.045868,0.0,4680,22.302374,0,0.045868,0.045868,1
2400,4500,25,0,0.0,0,0.0,1681.732056,0,812.515062,190.171,0,60,60.0,60,75,1.0,0.0,2054,0.044002,0.0,4500,21.406502,0,0.044002,0.044002,1
2400,4500,25,0,0.0,0,0.0,1681.732056,0,812.515062,190.171,0,60,60.0,60,75,1.0,0.0,2054,0.044002,0.0,4500,21.406502,0,0.044002,0.044002,1
5760,10800,180,0,0.0,0,0.0,1790.227783,0,0.0,0.0,0,60,60.0,60,180,1.0,0.0,2054,0.099987,0.0,10800,48.262016,0,0.099987,0.099987,1
5760,10800,180,0,0.0,0,0.0,1790.227783,0,0.0,0.0,0,60,60.0,60,180,1.0,0.0,2054,0.099987,0.0,10800,48.262016,0,0.099987,0.099987,1
96,180,3,0,0.0,0,0.0,589.394165,0,0.0,0.0,0,60,60.0,60,3,1.0,0.0,2054,0.003393,0.0,180,2.443187,0,0.003393,0.003393,1
96,180,3,0,0.0,0,0.0,589.394165,0,0.0,0.0,0,60,60.0,60,3,1.0,0.0,2054,0.003393,0.0,180,2.443187,0,0.003393,0.003393,1
0,600,10,0,0.0,0,0.0,791.259705,15,0.0,0.0,0,60,60.0,60,10,-0.0,0.0,6,0.011374,0.0,600,6.066276,65535,0.011374,0.011374,1
